Ticker,Fund Name
 TMV,Daily 20+ Year Treasury Bear 3X Shares
 TMF,Daily 20+ Year Treasury Bull 3X Shares
 TYO,Daily 7-10 Year Treasury Bear 3X Shares
 TYD,Daily 7-10 Year Treasury Bull 3X Shares
 ERY,Daily Energy Bear 3X Shares
 ERX,Daily Energy Bull 3X Shares
 FAZ,Daily Financial Bear 3X Shares
 FAS,Daily Financial Bull 3X Shares
 YANG,Daily FTSE China Bear 3X Shares
 YINN,Daily FTSE China Bull 3X Shares
 EURL,Daily FTSE Europe Bull 3X Shares
 DUST,Daily Gold Miners Index Bear 3X Shares
 NUGT,Daily Gold Miners Index Bull 3X Shares
 CURE,Daily Healthcare Bull 3X Shares
 NAIL,Daily Homebuilders & Supplies Bull 3X Shares
 JDST,Daily Junior Gold Miners Index Bear 3X Shares
 JNUG,Daily Junior Gold Miners Index Bull 3X Shares
 LBJ,Daily Latin America Bull 3X Shares
 MIDZ,Daily Mid Cap Bear 3X Shares
 MIDU,Daily Mid Cap Bull 3X Shares
 BRZU,Daily MSCI Brazil Bull 3X Shares
 DPK,Daily MSCI Developed Markets Bear 3X Shares
 DZK,Daily MSCI Developed Markets Bull 3X Shares
 EDZ,Daily MSCI Emerging Markets Bear 3X Shares
 EDC,Daily MSCI Emerging Markets Bull 3X Shares
 INDL,Daily MSCI India Bull 3X Shares
 JPNL,Daily MSCI Japan Bull 3X Shares
 DRV,Daily MSCI Real Estate Bear 3X Shares
 DRN,Daily MSCI Real Estate Bull 3X Shares
 KORU,Daily MSCI South Korea Bull 3X Shares
 GASL,Daily Natural Gas Related Bull 3X Shares
 WDRW,Daily Regional Banks Bear 3X Shares
 DPST,Daily Regional Banks Bull 3X Shares
 RETL,Daily Retail Bull 3X Shares
 RUSS,Daily Russia Bear 3X Shares
 RUSL,Daily Russia Bull 3X Shares
 SPXS,Daily S&P 500 Bear 3X Shares
 SPXL,Daily S&P 500 Bull 3X Shares
 LABD,Daily S&P Biotech Bear 3X Shares
 LABU,Daily S&P Biotech Bull 3X Shares
 DRIP,Daily S&P Oil & Gas Exp. & Prod. Bear 3X Shares
 GUSH,Daily S&P Oil & Gas Exp. & Prod. Bull 3X Shares
 SOXS,Daily Semiconductor Bear 3X Shares
 SOXL,Daily Semiconductor Bull 3X Shares
 TZA,Daily Small Cap Bear 3X Shares
 TNA,Daily Small Cap Bull 3X Shares
 TECS,Daily Technology Bear 3X Shares
 TECL,Daily Technology Bull 3X Shares
